id,word
1,When|I|was And|when|I So|when|I As|I|was If|I|was I|was|I When|I|got And|I|had And|in|my When|I|had In|my|<unk> And|I|got And|as|I But|when|I As|I|got It|was|I When|I|became When|I|went when|I|had when|I|was Now|when|I And|then|was I|had|me When|I|came When|I|used When|I|'ve So|I|was Once|I|was Like|I|was When|I|been Well|when|I So|<comma>|when I|had|I and|when|I And|I|was As|I|'ve And|I|been As|I|had Now|<comma>|in I|had|to Well|<comma>|in So|<comma>|in So|in|my And|so|I I|'ve|been <unk>|in|my And|if|I And|I|thought When|I|<unk> When|I|'m Because|I|was This|is|I And|then|had as|I|was So|as|I When|I|thought When|I|were As|I|been When|I|started And|that|was And|so|much So|<comma>|I And|this|was When|I|did As|I|thought As|I|came What|I|got So|I|had <unk>|when|I when|I|got If|I|got As|I|said And|I|'ve I|had|a But|in|my How|I|was As|I|went As|I|became So|if|I Now|I|was When|I|said But|I|was And|on|my If|I|had And|so|in and|I|was This|was|in as|I|had And|once|I Now|<comma>|as Once|I|had And|<comma>|when While|I|had And|now|I I|had|the Just|when|I What|I|was as|I|got As|I|<unk> And|I|<unk>
2,I|was|a I|was|<unk> And|I|was I|was|an So|I|was I|was|the So|<comma>|I I|'ve|been I|used|to and|I|was I|was|in I|'m|a I|had|a I|had|been I|was|more But|I|was Now|<comma>|I And|so|I I|was|very Now|I|was I|was|at And|I|had I|became|a I|was|out I|had|<unk> What|I|was Well|<comma>|I I|was|actually I|was|really I|was|just I|was|for I|went|<comma> So|I|had I|was|n't I|became|<unk> And|I|got And|I|became I|was|<comma> I|was|called I|have|been And|I|used I|'ve|was I|had|the I|got|<unk> I|said|<comma> I|was|not I|was|on I|was|born And|I|went I|was|two I|'m|<unk> I|got|a And|so|much I|actually|was I|<unk>|<comma> You|know|<comma> And|I|'m I|was|another This|was|a I|was|sort And|<comma>|I I|had|an And|I|'ve It|was|<unk> I|thought|<comma> I|came|on And|that|I I|think|<comma> I|had|to So|I|became I|was|also I|went|and So|I|got I|did|I I|was|still I|was|going I|was|about I|'ve|had I|was|my I|had|it I|was|his I|was|like I|had|me I|used|<unk> And|so|<comma> So|I|went I|was|quite I|went|. So|I|'ve <unk>|<comma>|I I|was|so So|I|'m I|became|the So|I|used I|was|self And|then|I I|went|to I|really|<comma> I|was|high I|was|great
3,She|was|a She|was|an It|was|a And|she|was she|was|a So|she|was It|was|an She|was|the This|was|a She|had|a He|was|a She|had|been They|was|a She|was|<unk> And|it|was She|was|<comma> She|'s|a she|was|an I|was|a This|was|an She|was|called <unk>|was|a it|was|a She|was|this They|had|been She|was|one You|'ve|was She|was|in and|she|was So|it|was There|was|a That|was|a She|was|at It|was|the She|was|like She|was|just They|'ve|was She|was|actually She|got|a She|was|for But|she|was You|was|a She|had|an She|was|another Well|<comma>|she She|was|that Now|she|was You|have|been So|<comma>|she Because|she|was She|was|some <unk>|was|an It|was|<unk> You|had|been And|she|had They|was|an She|was|his her|was|a Well|she|was I|was|an This|was|the She|was|my she|had|been So|she|had She|was|about He|was|an She|was|to And|this|was She|was|on She|was|born You|were|a It|was|<comma> You|had|it You|had|she She|had|this They|were|been She|had|the They|were|a It|was|called You|'ve|were It|was|one She|was|got In|fact|<comma> She|has|been She|was|something You|'ve|had Now|<comma>|she She|was|really She|was|very She|had|one So|<comma>|it I|mean|<comma> What|was|a She|was|so She|actually|been she|was|the The|woman|was We|was|a They|were|she he|was|a
4,And|when|I And|I|was And|as|I And|I|learned And|then|I And|then|when And|so|I And|if|I And|this|was So|when|I And|I|'ve And|this|is And|and|I And|so|<comma> And|I|did And|what|I And|once|I And|that|I And|then|<comma> And|while|I And|in|the And|it|was And|<comma>|when And|in|me And|I|had And|by|that And|instead|of And|<comma>|as And|I|heard And|I|stopped And|I|used And|I|started And|I|realized And|I|got And|like|I And|on|me and|when|I And|that|heard And|when|you And|I|'d And|it|learned And|I|'m And|I|<unk> And|we|learned And|then|as And|you|heard And|I|would And|she|was And|where|I And|I|have And|I|went And|at|that And|for|me And|that|was And|in|that And|actually|I And|that|<comma> And|then|this And|that|learned Now|when|I And|with|me And|then|that And|in|I And|<unk>|that And|then|it As|I|was But|when|I And|for|that And|so|if And|in|my And|we|heard And|now|I And|so|that And|it|seemed And|I|felt And|I|thought And|here|<comma> And|I|failed And|when|it And|let|me And|<comma>|like And|the|one And|I|tried And|in|when And|in|a And|by|me And|I|suddenly And|you|learned And|I|became And|than|that And|by|the And|When|I So|<comma>|when And|when|this And|how|I And|when|that And|by|this And|like|that And|now|<comma> And|I|ended
5,My|<unk>|got My|<unk>|came My|<unk>|was So|my|<unk> And|my|<unk> My|<unk>|had My|favorite|patient My|<unk>|<unk> So|my|favorite So|<comma>|I And|I|got My|<unk>|took Now|<comma>|my My|favorite|human So|<comma>|my Now|my|<unk> So|I|got I|'ve|got My|<unk>|went My|self|- My|home|was I|got|a My|<unk>|has My|great|patient And|my|favorite My|most|of So|my|home So|<comma>|the My|<unk>|<comma> My|family|was My|<unk>|became My|name|my My|<unk>|received And|<comma>|my But|my|<unk> My|dad|was My|<unk>|made My|favorite|patients My|<unk>|actually Well|<comma>|my My|family|<unk> My|<unk>|come Now|<comma>|I And|I|'ve My|life|<comma> It|was|the So|<comma>|a My|favorite|<comma> My|<comma>|my So|<comma>|in My|favorite|the My|business|was And|that|was My|<unk>|started My|graduate|patient My|business|<unk> So|my|business My|great|patients My|home|<unk> So|my|grandfather my|<unk>|<comma> So|<comma>|<unk> My|home|got And|I|had So|my|most My|school|was My|favorite|of Now|<comma>|the So|that|point And|I|was And|then|my My|<unk>|'ve So|<comma>|of And|it|was Now|<comma>|a My|<unk>|of My|grandfather|was So|<comma>|you And|my|home My|<unk>|thought My|<unk>|did So|<comma>|as So|I|'ve My|<unk>|the My|<unk>|would My|favorites|of So|my|main Now|<comma>|that So|my|great My|brain|<unk> My|home|<comma> So|<comma>|that My|<unk>|comes My|business|got So|my|brain My|grandfather|<unk> My|high|patient My|main|was My|<unk>|set And|then|<comma>
6,And|I|got And|I|'ve And|I|was And|so|I And|I|had And|I|came And|I|have And|I|did And|I|took So|I|got And|I|went And|then|I And|I|<unk> And|that|was And|I|became And|I|made And|<comma>|I And|I|received And|I|come And|I|started And|this|was And|I|would And|this|is I|got|a And|I|'m And|so|<comma> And|what|I And|there|was and|I|got And|I|feel And|I|get And|I|set And|I|thought And|that|'s And|I|'d And|I|brought And|I|happened And|I|played And|I|'ll And|then|<comma> And|you|got And|I|just And|I|created And|I|used And|I|saw And|I|in And|that|I But|I|got And|we|got And|I|I And|I|put And|in|the And|it|was And|I|wanted And|I|began And|I|actually And|I|kept And|I|do And|there|'s And|a|woman And|I|left And|I|showed So|<comma>|I And|I|kind And|I|go And|I|has And|this|one Now|I|got and|I|'ve And|so|this And|one|woman And|I|sent And|here|is And|I|found And|there|is And|I|entered And|let|me And|I|fell And|in|<unk> And|I|all And|I|arrived And|I|graduated And|I|also And|I|one And|I|<comma> And|I|met And|I|'s And|I|finished And|so|that And|I|ended And|I|really And|now|I And|you|have and|I|did And|me|<comma> And|that|one And|he|got And|I|moved And|I|managed What|I|got
7,And|I|thought And|this|is And|that|'s So|that|'s I|think|I This|is|that This|is|this I|thought|I So|I|thought That|'s|what And|so|I I|'ll|go So|<comma>|I So|this|is I|think|<comma> I|thought|that So|I|got So|<comma>|this I|get|me So|<comma>|that This|is|I I|'ll|get Now|<comma>|I I|'m|I I|'m|that And|that|is So|that|is I|remember|is I|got|me I|'ll|be I|<unk>|<comma> I|'m|this I|'m|the I|know|<comma> I|was|that I|was|this I|said|<comma> And|that|will That|is|that I|will|go And|so|much I|do|I and|that|I And|I|think And|it|<comma> I|thought|<comma> I|'m|<comma> That|'s|where I|also|<comma> And|<comma>|I I|'m|so This|is|it And|so|that And|so|<comma> I|know|I So|I|<unk> I|actually|I and|this|is I|also|I That|'s|I So|that|will I|think|that But|this|is I|guess|I I|come|on So|I|think I|remember|me So|this|will I|'m|going I|guess|that Now|that|go Well|<comma>|I You|know|I And|I|was That|'s|the You|know|that Which|is|now So|I|just I|do|that So|this|gets So|this|can And|this|was And|so|this And|that|'ll I|kind|of That|is|<comma> I|'ve|'ll And|that|was I|also|is So|I|also I|actually|<comma> And|that|makes So|this|go That|'s|me But|I|got I|<comma>|I And|I|remember And|I|would And|I|also I|'m|<unk>
8,But|I|did But|I|do But|I|have But|I|was But|I|'m But|I|'ve And|I|did But|I|had But|I|ca But|I|not But|I|would But|I|actually but|I|did But|I|n't And|I|do But|I|really But|I|<unk> But|<comma>|I But|I|could But|I|does But|this|is But|I|wo But|I|got But|I|just But|so|I But|<comma>|but But|that|'s but|I|do But|there|'s But|I|no But|what|I But|I|went But|I|I But|I|will But|it|'s But|I|has But|I|were But|I|know But|it|does But|then|I But|there|was I|do|n't Now|I|did But|I|can But|I|'s And|I|have So|I|did But|let|me I|did|n't But|I|am But|it|did But|that|was But|I|decided But|I|'ll But|I|'re But|it|was But|I|'d But|I|<comma> But|you|do But|I|get But|you|did But|I|are Now|<comma>|I But|I|mean But|I|all And|I|was But|this|was But|I|Not But|we|did But|there|is But|I|make and|I|did But|but|I But|I|. And|I|'m Well|I|did but|I|have But|I|need But|I|said But|I|never But|I|simply But|I|see Well|<comma>|but But|I|failed Because|I|did But|I|guess But|I|should But|now|do But|I|still But|there|are But|I|certainly But|I|it But|<comma>|not But|I|wanted But|here|I And|I|'ve But|it|has But|I|Do But|actually|<comma> But|<comma>|it
9,And|it|was Well|<comma>|later And|so|<comma> And|that|was At|all|<comma> And|this|was <unk>|was|later That|was|later In|fact|<comma> <unk>|came|back So|<comma>|later And|I|got <unk>|came|later And|there|was It|was|later And|at|the And|I|was So|it|later And|actually|<comma> And|then|came And|he|was And|it|came They|came|later He|was|later And|then|got And|on|the work|came|later So|<comma>|of Basically|<comma>|later <unk>|got|later No|one|was And|I|came And|then|was work|came|back And|right|<comma> Now|<comma>|later And|the|only So|<comma>|after No|one|came We|had|later But|<comma>|later And|<unk>|came This|was|later Okay|<comma>|later And|it|got And|we|got At|least|<comma> work|was|later And|<unk>|was There|was|working At|the|time And|yet|<comma> And|he|came At|all|of So|<comma>|I We|'ve|got First|of|course And|this|came And|I|'ve I|got|later They|came|back At|that|was And|just|later In|fact|later So|<comma>|at You|'ve|got And|he|got work|got|later Right|<comma>|later Suddenly|<comma>|later But|then|<comma> At|the|same So|there|was And|of|all What|came|later For|example|later What|happened|<comma> So|<unk>|<comma> And|I|had You|'ve|came So|that|was At|the|<unk> And|now|<comma> And|what|happened They|got|been So|then|<comma> And|something|came So|<comma>|<unk> And|was|later She|was|it All|of|the They|had|later We|'ve|came And|this|happened And|she|later job|came|back At|the|one So|<comma>|in You|'ve|come <unk>|came|to
10,People|in|the People|in|<unk> People|on|the People|in|these People|at|the People|in|their And|people|in People|in|a People|on|<unk> People|<comma>|people people|in|the People|in|your People|in|those People|into|the People|in|that People|in|his So|people|in People|in|our People|in|this People|in|an You|know|people People|inside|the People|in|all People|actually|are People|here|in People|inside|people People|into|<unk> People|in|it People|at|all People|in|its People|in|The People|in|my People|within|the people|in|<unk> People|back|to People|on|these People|in|of People|of|people People|in|which People|are|in People|in|space People|in|some People|in|business People|in|in People|around|the People|in|<comma> <unk>|in|the People|in|there People|at|<unk> People|in|what People|through|people People|in|Earth People|in|history People|in|effect People|at|that People|in|school People|in|time People|to|the <unk>|people|in People|in|front People|in|terms People|<unk>|in People|in|human People|in|America Did|people|in People|on|a People|and|I People|on|those People|at|a People|on|that People|at|people People|in|high People|in|working People|over|the People|are|the People|were|people People|in|education People|in|design and|people|in People|in|and People|on|your People|put|of People|in|- People|have|n't People|in|both People|in|prison People|in|brain People|in|real People|in|mind People|in|them People|back|in People|go|on People|with|the People|in|particular People|at|those They|'ve|got People|in|Eastern People|in|who People|go|to People|inside|these
